Alarm,En_TrobleShootingDescription,ZH_TrobleShootingDescription,TrobleShootingFilePath
Fork_Bumper_Error_Down,Ask GPM for Help,請洽GPM,
Fork_Height_Setting_Error,Ask GPM for Help,請洽GPM,
Fork_Pose_Change_Too_Large,Ask GPM for Help,請洽GPM,
Fork_Pose_Change_Fail_When_Reach_Secondary,Ask GPM for Help,請洽GPM,
Ground_Hole_Sensor_Error,Ask GPM for Help,請洽GPM,
Ground_Hole_Sensor_Error_Left_Front,Ask GPM for Help,請洽GPM,
Ground_Hole_Sensor_Error_Right_Front,Ask GPM for Help,請洽GPM,
Ground_Hole_Sensor_Error_Left_Rear,Ask GPM for Help,請洽GPM,
Ground_Hole_Sensor_Error_Right_Rear,Ask GPM for Help,請洽GPM,
Ground_Hole_CCD_Error,Ask GPM for Help,請洽GPM,
Ground_Hole_CCD_Error_Left_Front,Ask GPM for Help,請洽GPM,
Ground_Hole_CCD_Error_Right_Front,Ask GPM for Help,請洽GPM,
Ground_Hole_CCD_Error_Left_Rear,Ask GPM for Help,請洽GPM,
Ground_Hole_CCD_Error_Right_Rear,Ask GPM for Help,請洽GPM,
Smoke_IO_Error,Ask GPM for Help,請洽GPM,
N2_IO_Error,Ask GPM for Help,請洽GPM,
Battery_Exist_Error_,Ask GPM for Help,請洽GPM,
Battery1_Exist_Error,Ask GPM for Help,請洽GPM,
Battery2_Exist_Error,Ask GPM for Help,請洽GPM,
Battery_Low_Volume,Ask GPM for Help,請洽GPM,
Battery1_Low_Volume,Ask GPM for Help,請洽GPM,
Battery2_Low_Volume_,Ask GPM for Help,請洽GPM,
Battery_Volume_Gap,Ask GPM for Help,請洽GPM,
Battery1_Volume_Gap,Ask GPM for Help,請洽GPM,
Battery2_Volume_Gap,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Front,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Rear,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Left,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Right,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Far,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Front_Far,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Rear_Far,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Left_Far,Ask GPM for Help,請洽GPM,
Ultrasonic_Sensor_Error_Right_Far,Ask GPM for Help,請洽GPM,
Switch_Type_Error,Ask GPM for Help,請洽GPM,
Switch_Type_Error_Vertical,Ask GPM for Help,請洽GPM,
FrontProtection_Area3,Ask GPM for Help,請洽GPM,
BackProtection_Area3,Ask GPM for Help,請洽GPM,
LeftProtection_Area3,Ask GPM for Help,請洽GPM,
RightProtection_Area3,Ask GPM for Help,請洽GPM,
Cant_Change_With_Wrong_State,Ask GPM for Help,請洽GPM,
Monitor_Switch_Error_,Ask GPM for Help,請洽GPM,
Cant_Online_Without_Tag,Ask GPM for Help,請洽GPM,
Cant_Online_With_Forbid_Tag,Ask GPM for Help,請洽GPM,
Cant_Online_In_Equipment,Ask GPM for Help,請洽GPM,
Cant_Online_At_Virtual_Point,Ask GPM for Help,請洽GPM,
FrontProtection_Area2,Ask GPM for Help,請洽GPM,
BackProtection_Area2,Ask GPM for Help,請洽GPM,
LeftProtection_Area2,Ask GPM for Help,請洽GPM,
RightProtection_Area2,Ask GPM for Help,請洽GPM,
BotProtection_Area2,Ask GPM for Help,請洽GPM,
Side_Sensor_Undetected,Ask GPM for Help,請洽GPM,
AGV_State_Cant_do_this_Action,Ask GPM for Help,請洽GPM,
AGV_State_Cant_Move,Ask GPM for Help,請洽GPM,
Cant_Move_in_Work_Station,Ask GPM for Help,請洽GPM,
Work_Station_Setting_Fail,Ask GPM for Help,請洽GPM,
Cant_Initial_when_Obstacle_Invade,Ask GPM for Help,請洽GPM,
AGV_State_Cant_Auto_Reset,Ask GPM for Help,請洽GPM,
Secondary_Done_But_is_Wrong_Pos,Ask GPM for Help,請洽GPM,
AGV_Location_Not_Secondary,Ask GPM for Help,請洽GPM,
Cant_Manual_Action,Ask GPM for Help,請洽GPM,
Cant_Manual_Action_1,Ask GPM for Help,請洽GPM,
Cant_Manual_Action_2,Ask GPM for Help,請洽GPM,
Cant_Manual_Action_3,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos0A,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos_IO,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos_Encoder,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos_Laser,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos_1,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos_2,Ask GPM for Help,請洽GPM,
Cant_Check_ZaxisPos_3,Ask GPM for Help,請洽GPM,
Cst_Slope_Error,Ask GPM for Help,請洽GPM,
Cst_Slope_Error_1,Ask GPM for Help,請洽GPM,
Cst_Slope_Error_2,Ask GPM for Help,請洽GPM,
Cst_Slope_Error_3,Ask GPM for Help,請洽GPM,
Cst_Slope_Error_4,Ask GPM for Help,請洽GPM,
Cst_Slope_Error_5,Ask GPM for Help,請洽GPM,
Cst_Slope_Error_6,Ask GPM for Help,請洽GPM,
Oh_Cst_Error,Ask GPM for Help,請洽GPM,
Oh_Cst_Error0,Ask GPM for Help,請洽GPM,
Cant_Check_Battery,Ask GPM for Help,請洽GPM,
Cant_Check_Move_Path,Ask GPM for Help,請洽GPM,
Has_Job_Without_Cst,Ask GPM for Help,請洽GPM,
Has_Job_Without_Cst_1,Ask GPM for Help,請洽GPM,
Has_Job_Without_Cst_2,Ask GPM for Help,請洽GPM,
Has_Job_Without_Cst_3,Ask GPM for Help,請洽GPM,
Has_Job_Without_Cst_4,Ask GPM for Help,請洽GPM,
Delete_Job_Data_With_Cst,Ask GPM for Help,請洽GPM,
Delete_Job_Data_With_Cst_1,Ask GPM for Help,請洽GPM,
Delete_Job_Data_With_Cst_2,Ask GPM for Help,請洽GPM,
Delete_Job_Data_With_Cst_3,Ask GPM for Help,請洽GPM,
Delete_Job_Data_With_Cst_4,Ask GPM for Help,請洽GPM,
Has_Cst_Without_Job,Ask GPM for Help,請洽GPM,
Has_Cst_Without_Job_1,Ask GPM for Help,請洽GPM,
Has_Cst_Without_Job_2,Ask GPM for Help,請洽GPM,
Has_Cst_Without_Job_3,Ask GPM for Help,請洽GPM,
Has_Cst_Without_Job_4,Ask GPM for Help,請洽GPM,
Oh_Action_but_Empty_Take,Ask GPM for Help,請洽GPM,
Load_But_Occupy,Ask GPM for Help,請洽GPM,
Read_Cst_ID_Fail,Ask GPM for Help,請洽GPM,
Read_Cst_ID_Fail_Service_Done_But_Topic_No_CSTID,Ask GPM for Help,請洽GPM,
Read_Cst_ID_But_Cargo_Type_Known,Ask GPM for Help,請洽GPM,
Cst_ID_Not_Match,Ask GPM for Help,請洽GPM,
Instrument_Error,Ask GPM for Help,請洽GPM,
Instrument_IO_Error_,Ask GPM for Help,請洽GPM,
Instrument_Module_Error_,Ask GPM for Help,請洽GPM,
Instrument_Module_Disconnect,Ask GPM for Help,請洽GPM,
Detection_Fail,Ask GPM for Help,請洽GPM,
Bay_Block,Ask GPM for Help,請洽GPM,
Bay_Block_1,Ask GPM for Help,請洽GPM,
Bay_Block_2,Ask GPM for Help,請洽GPM,
Bay_Move_Out_Fail,Ask GPM for Help,請洽GPM,
Escape,Ask GPM for Help,請洽GPM,
GPM_Motion_control_Tracking_Error,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Received_Msg,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Extend_Path,Ask GPM for Help,請洽GPM,
Motion_control_Out_Of_Line_While_Forwarding_End,Ask GPM for Help,請洽GPM,
Motion_control_Out_Of_Line_While_Tracking_End_Point,Ask GPM for Help,請洽GPM,
Motion_control_Out_Of_Line_While_Moving,Ask GPM for Help,請洽GPM,
Motion_control_Out_Of_Line_While_Secondary,Ask GPM for Help,請洽GPM,
Motion_control_Missing_Tag_On_End_Point,Ask GPM for Help,請洽GPM,
Motion_control_Missing_Tag_While_Moving,Ask GPM for Help,請洽GPM,
Motion_control_Missing_Tag_While_Secondary,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Initial_Position_In_Secondary,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Initial_Angle_In_Secondary,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Target_To_Pirouette,Ask GPM for Help,請洽GPM,
Map_Recognition_Rate_Too_Low,Ask GPM for Help,請洽GPM,
Motion_control_Tracking_Tag_Not_On_Tag_Or_Tap,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Position_To_Tracking_Tag,Ask GPM for Help,請洽GPM,
Motion_control_Tracking_Tag_Fail,Ask GPM for Help,請洽GPM,
F0GPM_Motion_control_RunMove_Abort,Ask GPM for Help,請洽GPM,
Can_not_Pass_Task_to_Motion_Control,Ask GPM for Help,請洽GPM,
F1Action_Server_Not_Ready0F1Action,Ask GPM for Help,請洽GPM,
Motion_control_Disconnected,Ask GPM for Help,請洽GPM,
Task_Path_Road_Closed,Ask GPM for Help,請洽GPM,
AGV_Alive_Check_Fail,Ask GPM for Help,請洽GPM,
Registration_Reject,Ask GPM for Help,請洽GPM,
Registration_Timeout,Ask GPM for Help,請洽GPM,
Unregistration_Reject,Ask GPM for Help,請洽GPM,
Unregistration_Timeout,Ask GPM for Help,請洽GPM,
Handshake_Fail,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_L_REQ,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_U_REQ,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_READY,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_READY_UP,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_READY_LOW,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_GO,Ask GPM for Help,請洽GPM,
Handshake_Fail_Because_Person_EQ_GO,Ask GPM for Help,請洽GPM,
Handshake_Fail_Inside_EQ_EQ_GO,Ask GPM for Help,請洽GPM,
Handshake_Timeout,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_X20,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_EQ_L_REQ,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_EQ_U_REQ,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_EQ_READY,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_EQ_READY_UP,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_EQ_READY_LOW,Ask GPM for Help,請洽GPM,
Precheck_IO_Fail_EQ_GO,Ask GPM for Help,請洽GPM,
Precheck_IO_EQ_PIO_State_Not_Reset,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_BUSY_ON,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_BUSY_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_AGV_DOWN,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_Busy_ON_When_AGV_BUSY,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_READY_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_BUSY_NOT_ON,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_BUSY_NOT_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA1_EQ_L_REQ,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA1_EQ_U_REQ,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA2_EQ_READY,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA3_EQ_BUSY_ON,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA4_EQ_BUSY_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA5_EQ_L_REQ,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA5_EQ_U_REQ,Ask GPM for Help,請洽GPM,
Handshake_Fail_TA5_EQ_READY_NOT_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_EQ_LU_REQ_OFF_WHEN_WAIT_READY,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_VALID_NOT_ON,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_VALID_NOT_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_TRREQ_NOT_ON,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_TRREQ_NOT_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_COMPT_NOT_ON,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_COMPT_NOT_OFF,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_Remove_Timeout,Ask GPM for Help,請洽GPM,
Handshake_Fail_BAT_EXG_EQ_VALID_OFF_WHEN_HANDSHAKING,Ask GPM for Help,請洽GPM,
AAsk_Remote_Cst_Status_Fail,Ask GPM for Help,請洽GPM,
BAsk_Remote_Cst_Status_Timeout,Ask GPM for Help,請洽GPM,
AGVs_Abort_Task,Ask GPM for Help,請洽GPM,
AGVS_ALIVE_CHECK_TIMEOUT,Ask GPM for Help,請洽GPM,
AGVs_Disconnected,Ask GPM for Help,請洽GPM,
AGVS_PING_FAIL,Ask GPM for Help,請洽GPM,
Task_Feedback_T1_Timeout,Ask GPM for Help,請洽GPM,
OnlineModeQuery_T1_Timeout,Ask GPM for Help,請洽GPM,
RunningStatusReport_T1_Timeout,Ask GPM for Help,請洽GPM,
AGVS_Leave_Workstation_Response_Timeout,Ask GPM for Help,請洽GPM,
Under_voltage_protection,Ask GPM for Help,請洽GPM,
Under_voltage_protection_Action,Ask GPM for Help,請洽GPM,
Under_voltage_protection_1,Ask GPM for Help,請洽GPM,
Under_voltage_protection_2,Ask GPM for Help,請洽GPM,
Under_voltage_protection_3,Ask GPM for Help,請洽GPM,
Under_voltage_protection_4,Ask GPM for Help,請洽GPM,
Under_current_protection,Ask GPM for Help,請洽GPM,
Under_current_protection_Action,Ask GPM for Help,請洽GPM,
Under_current_protection_1,Ask GPM for Help,請洽GPM,
Under_current_protection_2,Ask GPM for Help,請洽GPM,
Under_current_protection_3,Ask GPM for Help,請洽GPM,
Under_current_protection_4,Ask GPM for Help,請洽GPM,
Over_voltage_protection,Ask GPM for Help,請洽GPM,
Over_voltage_protection_Action,Ask GPM for Help,請洽GPM,
Over_voltage_protection_1,Ask GPM for Help,請洽GPM,
Over_voltage_protection_2,Ask GPM for Help,請洽GPM,
Over_voltage_protection_3,Ask GPM for Help,請洽GPM,
Over_voltage_protection_4,Ask GPM for Help,請洽GPM,
Over_current_protection,Ask GPM for Help,請洽GPM,
Over_current_protection_Action,Ask GPM for Help,請洽GPM,
Over_current_protection_1,Ask GPM for Help,請洽GPM,
Over_current_protection_2,Ask GPM for Help,請洽GPM,
Over_current_protection_3,Ask GPM for Help,請洽GPM,
Over_current_protection_4,Ask GPM for Help,請洽GPM,
Over_heat_protection,Ask GPM for Help,請洽GPM,
Over_heat_protection_Action,Ask GPM for Help,請洽GPM,
Over_heat_protection_1,Ask GPM for Help,請洽GPM,
Over_heat_protection_2,Ask GPM for Help,請洽GPM,
Over_heat_protection_3,Ask GPM for Help,請洽GPM,
Over_heat_protection_4,Ask GPM for Help,請洽GPM,
Over_load_protection,Ask GPM for Help,請洽GPM,
Over_load_protection_Action,Ask GPM for Help,請洽GPM,
Over_load_protection_1,Ask GPM for Help,請洽GPM,
Over_load_protection_2,Ask GPM for Help,請洽GPM,
Over_load_protection_3,Ask GPM for Help,請洽GPM,
Over_load_protection_4,Ask GPM for Help,請洽GPM,
Over_regeneration_load_protection,Ask GPM for Help,請洽GPM,
Over_regeneration_load_protection_Action,Ask GPM for Help,請洽GPM,
Over_regeneration_load_protection_2,Ask GPM for Help,請洽GPM,
Over_regeneration_load_protection_3,Ask GPM for Help,請洽GPM,
Over_regeneration_load_protection_4,Ask GPM for Help,請洽GPM,
Over_regeneration_load_protection_5,Ask GPM for Help,請洽GPM,
Over_speed_protection,Ask GPM for Help,請洽GPM,
Over_speed_protection_Action,Ask GPM for Help,請洽GPM,
Over_speed_protection_1,Ask GPM for Help,請洽GPM,
Over_speed_protection_2,Ask GPM for Help,請洽GPM,
Over_speed_protection_3,Ask GPM for Help,請洽GPM,
Over_speed_protection_4,Ask GPM for Help,請洽GPM,
Deviation_excess_protection,Ask GPM for Help,請洽GPM,
Deviation_excess_protection_Action,Ask GPM for Help,請洽GPM,
Deviation_excess_protection_1,Ask GPM for Help,請洽GPM,
Deviation_excess_protection_2,Ask GPM for Help,請洽GPM,
Deviation_excess_protection_3,Ask GPM for Help,請洽GPM,
Deviation_excess_protection_4,Ask GPM for Help,請洽GPM,
AConnection_error_protection,Ask GPM for Help,請洽GPM,
AConnection_error_protection_Action,Ask GPM for Help,請洽GPM,
AConnection_error_protection_1,Ask GPM for Help,請洽GPM,
AConnection_error_protection_2,Ask GPM for Help,請洽GPM,
AConnection_error_protection_3,Ask GPM for Help,請洽GPM,
AConnection_error_protection_4,Ask GPM for Help,請洽GPM,
Status_Error,Ask GPM for Help,請洽GPM,
Status_Error_Action,Ask GPM for Help,請洽GPM,
Status_Error_1,Ask GPM for Help,請洽GPM,
Status_Error_2,Ask GPM for Help,請洽GPM,
Status_Error_3,Ask GPM for Help,請洽GPM,
Status_Error_4,Ask GPM for Help,請洽GPM,
Communication_error,Ask GPM for Help,請洽GPM,
Communication_error_Action,Ask GPM for Help,請洽GPM,
Communication_error_1,Ask GPM for Help,請洽GPM,
Communication_error_2,Ask GPM for Help,請洽GPM,
Communication_error_3,Ask GPM for Help,請洽GPM,
Communication_error_4,Ask GPM for Help,請洽GPM,
Alarm_input_protection,Ask GPM for Help,請洽GPM,
Alarm_input_protection_Action,Ask GPM for Help,請洽GPM,
Alarm_input_protection_1,Ask GPM for Help,請洽GPM,
Alarm_input_protection_2,Ask GPM for Help,請洽GPM,
Alarm_input_protection_3,Ask GPM for Help,請洽GPM,
Alarm_input_protection_4,Ask GPM for Help,請洽GPM,
Command_error,Ask GPM for Help,請洽GPM,
Command_error_Action,Ask GPM for Help,請洽GPM,
Command_error_1,Ask GPM for Help,請洽GPM,
Command_error_2,Ask GPM for Help,請洽GPM,
Command_error_3,Ask GPM for Help,請洽GPM,
Command_error_4,Ask GPM for Help,請洽GPM,
Overtorque,Ask GPM for Help,請洽GPM,
Overtorque_Action,Ask GPM for Help,請洽GPM,
Overtorque_1,Ask GPM for Help,請洽GPM,
Overtorque_2,Ask GPM for Help,請洽GPM,
Overtorque_3,Ask GPM for Help,請洽GPM,
Overtorque_4,Ask GPM for Help,請洽GPM,
Other_error,Ask GPM for Help,請洽GPM,
Other_error_Action,Ask GPM for Help,請洽GPM,
Other_error_1,Ask GPM for Help,請洽GPM,
Other_error_2,Ask GPM for Help,請洽GPM,
Other_error_3,Ask GPM for Help,請洽GPM,
Other_error_4,Ask GPM for Help,請洽GPM,
Motor_Active_Error,Ask GPM for Help,請洽GPM,
Motor_Feedback_Signal_Error,Ask GPM for Help,請洽GPM,
Motor_EEP_Error,Ask GPM for Help,請洽GPM,
Motor_Driver_Over_Heat_Error,Ask GPM for Help,請洽GPM,
Motor_Over_Speed_Error,Ask GPM for Help,請洽GPM,
Motor_Encoder_Error,Ask GPM for Help,請洽GPM,
Motor_Run_Forbid,Ask GPM for Help,請洽GPM,
Motor_Extern_Stop,Ask GPM for Help,請洽GPM,
Motor_Hall_Sequence_Error,Ask GPM for Help,請洽GPM,
Motor_Parameters_Error,Ask GPM for Help,請洽GPM,
Battery_Status_Error_,Ask GPM for Help,請洽GPM,
Battery_Status_Error_1,Ask GPM for Help,請洽GPM,
Battery_Status_Error_2,Ask GPM for Help,請洽GPM,
Over_Voltage,Ask GPM for Help,請洽GPM,
Over_Voltage_1,Ask GPM for Help,請洽GPM,
Over_Voltage_2,Ask GPM for Help,請洽GPM,
Under_Voltage,Ask GPM for Help,請洽GPM,
Under_Voltage_1,Ask GPM for Help,請洽GPM,
Under_Voltage_2,Ask GPM for Help,請洽GPM,
Over_Current_Charge,Ask GPM for Help,請洽GPM,
Over_Current_Charge_1,Ask GPM for Help,請洽GPM,
Over_Current_Charge_2,Ask GPM for Help,請洽GPM,
Over_Current_Discharge,Ask GPM for Help,請洽GPM,
Over_Current_Discharge_1,Ask GPM for Help,請洽GPM,
Over_Current_Discharge_2,Ask GPM for Help,請洽GPM,
Under_Current_Charge,Ask GPM for Help,請洽GPM,
Under_Current_Charge_1,Ask GPM for Help,請洽GPM,
Under_Current_Charge_2,Ask GPM for Help,請洽GPM,
Under_Current_Discharge,Ask GPM for Help,請洽GPM,
Under_Current_Discharge_1,Ask GPM for Help,請洽GPM,
Under_Current_Discharge_2,Ask GPM for Help,請洽GPM,
Over_Temperature,Ask GPM for Help,請洽GPM,
Over_Temperature_1_,Ask GPM for Help,請洽GPM,
Over_Temperature_2_,Ask GPM for Help,請洽GPM,
Under_Temperature,Ask GPM for Help,請洽GPM,
Under_Temperature_1_,Ask GPM for Help,請洽GPM,
Under_Temperature_2_,Ask GPM for Help,請洽GPM,
EQP_PORT_HAS_OBSTACLE_BY_LSR,Ask GPM for Help,請洽GPM,
Auto_Door_Ouput_Not_Defined,Ask GPM for Help,請洽GPM,
License_Error,Ask GPM for Help,請洽GPM,
License_Error_0x0000NOF3E7,Ask GPM for Help,請洽GPM,
License_Error_0x0000NRD3E7,Ask GPM for Help,請洽GPM,
License_Error_0x00000M13E7,Ask GPM for Help,請洽GPM,
License_Error_0x00000D13E7,Ask GPM for Help,請洽GPM,
Waiting_EQ_Handshake,Ask GPM for Help,請洽GPM,
Laser_Mode_value_fail,Ask GPM for Help,請洽GPM,
Unknown,Ask GPM for Help,請洽GPM,
Code_Error_In_System,Ask GPM for Help,請洽GPM,
Subscribe_ROS_Topic_Err,Ask GPM for Help,請洽GPM,
ROS_Bridge_server_Disconnect,Ask GPM for Help,請洽GPM,
AGV_Pose_Angle_Not_Match_To_Sick_Angle,Ask GPM for Help,請洽GPM,
USER_Press_SoftwareEMO_But_Exception_Occur,Ask GPM for Help,請洽GPM,
EQP_LOAD_BUT_EQP_HAS_OBSTACLE,Ask GPM for Help,請洽GPM,
EQP_UNLOAD_BUT_EQP_HAS_NO_CARGO,Ask GPM for Help,請洽GPM,
Cant_Change_Online_Mode_Code_Error,Ask GPM for Help,請洽GPM,
Cant_TransferTask_TO_AGVC,Ask GPM for Help,請洽GPM,
Motion_control_Wrong_Unknown_Code,Ask GPM for Help,請洽GPM,
UserAbort_Initialize_Process,Ask GPM for Help,請洽GPM,
Sick_Lidar_Communication_Error,Ask GPM for Help,請洽GPM,
Fork_WorkStation_Teach_Data_Not_Found_Tag,Ask GPM for Help,請洽GPM,
Fork_WorkStation_Teach_Data_Not_Found_layer,Ask GPM for Help,請洽GPM,
Fork_Arm_Pose_Error,Ask GPM for Help,請洽GPM,
Destine_Point_Is_Virtual_Point,Ask GPM for Help,請洽GPM,
Fork_Frontend_has_Obstacle,Ask GPM for Help,請洽GPM,
